name,address,region
Stolin Karlin (Williamsburg),540 Bedford Ave Brooklyn NY,brooklyn
Ohev Sholom,19-25 Varet St Brooklyn NY,brooklyn
Cong. Tiferes Moshe,572 Bedford Ave Brooklyn NY,brooklyn
Satmar (South 8th St),134 S 8th St Brooklyn NY,brooklyn
Tiferes Meshulam d'Tosh,567 Bedford Ave Brooklyn NY,brooklyn
Pupa Hall,205 Hewes St Brooklyn NY,brooklyn
Ateres Avrohom (Williamsburg),75 Ross St Brooklyn NY,brooklyn
Concord Plaza,760 Bedford Ave Brooklyn NY,brooklyn
Yeshiva Jesode Hatorah,195 Wilson St Brooklyn NY,brooklyn
RAZAG Ballroom,739 East New York Ave Brooklyn NY,crown_heights
770 Eastern Parkway,770 Eastern Pkwy Brooklyn NY,crown_heights
Mishkan Menachem (JCM),792 Eastern Pkwy Brooklyn NY,crown_heights
Chevra Ahavas Yisroel,306 Albany Ave Brooklyn NY,crown_heights
The Nemes Hall,309 New York Ave Brooklyn NY,crown_heights
Anshei Lubavitch (Crown Heights),578 Albany Ave Brooklyn NY,crown_heights
Agudas Israel (Crown Heights),456 Crown St Brooklyn NY,crown_heights
The Crown Heights Shul,570 Crown St Brooklyn NY,crown_heights
The Besht Center,563 Empire Blvd Brooklyn NY,crown_heights
Ahavas Achim - Empire Shtiebel,489 Empire Blvd Brooklyn NY,crown_heights
Bais Binyamin-Viznitz,680 Montgomery St Brooklyn NY,crown_heights
Bais Rivka Hall,310 Crown St Brooklyn NY,crown_heights
Garden House NYC,1386 St Johns Pl Brooklyn NY,crown_heights
Chevra Shas,398 Kingston Ave Brooklyn NY,crown_heights
Torah Utefilah (Shain's),390 Kingston Ave Brooklyn NY,crown_heights
Chovevei Torah (Murphy Shul),885 Eastern Pkwy Brooklyn NY,crown_heights
Kahal Chasidim (Baumgarten's),1612 Carroll St Brooklyn NY,crown_heights
Ktav Sofer (Crown Heights),646 Empire Blvd Brooklyn NY,crown_heights
Rayim Ahuvim,1614 Carroll St Brooklyn NY,crown_heights
Anshie Maaseh,1466 Union St Brooklyn NY,crown_heights
Bais Menachem Mendel (Crown Heights),770 Lefferts Ave Brooklyn NY,crown_heights
Beis Levi Yitschok,556 Crown St Brooklyn NY,crown_heights
Bris Sholom (Best Shul),382 Crown St Brooklyn NY,crown_heights
Hadar Hatorah,824 Eastern Pkwy Brooklyn NY,crown_heights
Nosson's Shul,579 Brooklyn Ave Brooklyn NY,crown_heights
Oihel Noson,580 Crown St Brooklyn NY,crown_heights
The Lincoln Place Shul,1185 Lincoln Pl Brooklyn NY,crown_heights
Unzer Shul,1457 Union St Brooklyn NY,crown_heights
Living Chassidus,305 Kingston Ave Brooklyn NY,crown_heights
Eshel Hospitality Center,272 Kingston Ave Brooklyn NY,crown_heights
King Tai (Top Floor),1095 Bergen St Brooklyn NY,crown_heights
The Atrium,401 W Route 59 Monsey NY,monsey
Ateres Charne,790 N Main St Monsey NY,monsey
Yeshiva Ohr Reuven,259 Grandview Ave Monsey NY,monsey
18 Forshay (Ohr Chaim),18 Forshay Rd Monsey NY,monsey
Bnos Esther Pupa,15 Widman Ct Monsey NY,monsey
Pine Valley Center,661 N Main St Spring Valley NY,monsey
New Square Hall,9 Truman Ave New Square NY,monsey
Ateres Chaya Surah,311 W Rte 59 Monsey NY,monsey
Bais Medrash Anshei Mamre,12 Adar Ct Monsey NY,monsey
Khal Toras Chaim (Monsey),25 Main St Monsey NY,monsey
Ateres Rosh,100 S. Main St Spring Valley NY,monsey
Beis Medrash of Wesley Hills,24 Lime Kiln Rd Wesley Hills NY,monsey
Congregation Beth Shalom (Airmont),40 Campbell Ave Airmont NY,monsey
Bais Medrash Ohr Chaim,18 Forshay Rd Chestnut Ridge NY,monsey
Yeshiva Gedola of S. Monsey,260 Saddle River Rd Airmont NY,monsey
Kahal Ahavas Yitzchok (Airmont),73 Forshay Rd Airmont NY,monsey
Ridnik Shul,22 Rustic Dr Airmont NY,monsey
Satenov,21 Madison Hill Rd Airmont NY,monsey
K'hal Eitz Chaim Siget,9 Sumter Rd Airmont NY,monsey
Kehal Kinyan Torah,2 Dawn Ln Airmont NY,monsey
Yeshiva Me'on Hatorah,17 N Airmont Rd Airmont NY,monsey
Cheder Chabad (Girls),25 S Monsey Rd Monsey NY,monsey
Monsey Beis Chaya Mushka,27 S Monsey Rd Monsey NY,monsey
Bais Yehudah of Suffern,31 Cragmere Rd Monsey NY,monsey
Machna Simcha Hall,527 West Central Ave Spring Valley NY,monsey
KZM Khal Zichron Michoel,153 Grandview Ave Monsey NY,monsey
Ridge Terrace Hall,831 Ridge Ave Lakewood NJ,lakewood
Ateres Yeshaya,908 E County Line Rd Lakewood NJ,lakewood
KZY Hall (Ateres Avrohom),175 Sunset Rd Lakewood NJ,lakewood
Alexander 234,234 Alexander Ave Lakewood NJ,lakewood
Madison Manor (Beis Horaah),401 Madison Ave Lakewood NJ,lakewood
Pine Park Hall,145 Country Club Dr Lakewood NJ,lakewood
Lake Terrace,1690 Oak St Lakewood NJ,lakewood
Fountain Ballroom,725 Vasser Ave Lakewood NJ,lakewood
Ateres Reva,500 Locust St Lakewood NJ,lakewood
Kesser Moshe Yehuda,1320 Hearthstone Dr Lakewood NJ,lakewood
Estreia,978 River Ave Lakewood NJ,lakewood
River Terrace,1094 River Ave Lakewood NJ,lakewood
Ateres Blima,1000 Towbin Ave Lakewood NJ,lakewood
Anshei Sfard (Rabbi Blech),1250 Madison Ave Lakewood NJ,lakewood
Coventry Shul,601 E Kennedy Blvd Lakewood NJ,lakewood
Khal Bnei Torah,304 Monmouth Ave Lakewood NJ,lakewood
Khal Chassidim (Lakewood),1401 Cedar Row Lakewood NJ,lakewood
Vizhnitz Hall,1501 Clifton Ave Lakewood NJ,lakewood
Lakewood Commons,44 Coles Way Lakewood NJ,lakewood
Stolin/Karlin Hall,153 E 7th St Lakewood NJ,lakewood
Westgate Shul,100 Ropshitz Ct Lakewood NJ,lakewood
Ohr Meir,30 5th St Lakewood NJ,lakewood
Ohr Yechezkel,307 Ridge Ave Lakewood NJ,lakewood
Zichron Chaim (Villas),901 E Kennedy Blvd Lakewood NJ,lakewood
Khal Zichron Shneur,282 Oak Knoll Rd Lakewood NJ,lakewood
Ohel Shulamit,38 Spruce St Lakewood NJ,lakewood
Beis Medrash Ohr Tuvia,969 East End Ave Lakewood NJ,lakewood
Beis Nosson Tzvi,1416 Willow Ct Lakewood NJ,lakewood
Beis Dovid,322 Ridge Ave Lakewood NJ,lakewood
Bais Medrash Lutzk,511 New Egypt Rd Lakewood NJ,lakewood
Bais Medrash of Albert,699 Albert Ave Lakewood NJ,lakewood
Chakal Yitzchok Spinka,144 New York Ave Lakewood NJ,lakewood
Kbt Ridge (Khal Bnei Torah),1075 Ridge Ave Lakewood NJ,lakewood
Khal Tiferes Shmuel (Lakewood),700 S New Hampshire Ave Lakewood NJ,lakewood
Beis Medrash Zichron Binyomin,701 Princeton Ave Lakewood NJ,lakewood
Khal Beis Tefilla,33 E 8th St Lakewood NJ,lakewood
Yeshiva Ohr Shraga,750 Vassar Ave Lakewood NJ,lakewood
Bais Yaakov of Lakewood,1990 James St Lakewood NJ,lakewood
Yeshiva Toras Chaim (Lakewood),999 Ridge Ave Lakewood NJ,lakewood
Westgate Shul (Sfard),25 Kelm Woods Rd Lakewood NJ,lakewood
Bais Medrash of Somerset Walk,Somerset Walk Lakewood NJ,lakewood
Bais Medrash of Hearthstone,1320 Hearthstone Dr Lakewood NJ,lakewood
Khal Chateau Park,122 Autumn Ct Lakewood NJ,lakewood
Bais Medrash Raintree,Raintree area Lakewood NJ,lakewood
Bais Medrash Kol Yehuda,Brook Hill Way Lakewood NJ,lakewood
Pine River Village Shul,350 Pine St Lakewood NJ,lakewood
Bais Medrash of High Street,41 Cross St Lakewood NJ,lakewood
Chasidei Gur - Oak & Vine,Oak & Vine area Lakewood NJ,lakewood
Belz (Harmony Park),Harmony Park area Lakewood NJ,lakewood
Congregation Sterling Forest,Sterling Forest area Lakewood NJ,lakewood
Chestnut Shul,1140 Chestnut St Lakewood NJ,lakewood
Chabad of Jackson,645 Cross St Jackson NJ,lakewood
Royal Grove Shul,18 Imperial Pl N Jackson NJ,lakewood
Khal Chasidim D'Jackson,411 Meadowood Rd Jackson NJ,lakewood
Khal Zichron Yisroel (Jackson),10 Cassville Rd Jackson NJ,lakewood
Bais Medrash of Jackson,46 Bennetts Mills Rd Jackson NJ,lakewood
Khal Oak Forest,Oak Forest Dr Jackson NJ,lakewood
Khal Brookwood,158 Brookwood Pkwy Jackson NJ,lakewood
Beth Zion (Jackson),46 Bennetts Mills Rd Jackson NJ,lakewood
Chabad of Toms River,2001 Church Rd Toms River NJ,lakewood
Khal Toms River,2312 Hunters Ct Toms River NJ,lakewood
Cong. B'nai Israel (Toms River),1488 Old Freehold Rd Toms River NJ,lakewood
Khal M'kadshai Hashem,2461 Whitesville Rd Toms River NJ,lakewood
Manchester Shul,532 Lawrence Ave Manchester NJ,lakewood
Khal Tiferes Yosef,Lawrence Ave Manchester NJ,lakewood
Bais Medrash of Holly Oaks,Holly Oaks area Manchester NJ,lakewood
Renaissance Shul,3180 Renaissance Blvd Manchester NJ,lakewood
The Oasis Hall @ BTI,259 Doughty Blvd Inwood NY,five_towns
Chabad of Far Rockaway,1055 Neilson St Inwood NY,five_towns
Dogwood Shtiebel,4 Dogwood Ln Lawrence NY,five_towns
Back Lawrence Minyan,2 Rockaway Tpk Lawrence NY,five_towns
Beis Avrohom (Back Lawrence),2 Rockaway Tpk Lawrence NY,five_towns
Bais Ment (Zichron Dovid),6 Herrick Dr Lawrence NY,five_towns
Beis Medrash Heichal Dovid,215 Central Ave Lawrence NY,five_towns
Regency Torah Center,260 Central Ave Lawrence NY,five_towns
Beth Sholom,390 Broadway Lawrence NY,five_towns
Congregation Shaaray Tefila (Lawrence),25 Central Ave Lawrence NY,five_towns
Khal Mevakshei Hashem,137 Lawrence Ave Inwood NY,five_towns
The White Shul,728 Empire Ave Cedarhurst NY,five_towns
Agudah of Five Towns,508 Peninsula Blvd Cedarhurst NY,five_towns
Beis Medrash Hachaim,137 Cedarhurst Ave Cedarhurst NY,five_towns
YI Lawrence-Cedarhurst,8 Spruce St Lawrence NY,five_towns
Shor Yoshuv,1 Cedar Lawn Ave Lawrence NY,five_towns
YI of Woodmere,859 Peninsula Blvd Woodmere NY,five_towns
YI North Woodmere,649 Hungry Harbor Rd Woodmere NY,five_towns
The Mansion by Saffron,140 Central Ave Lawrence NY,five_towns
Kehillas Bais Yehuda Tzvi,395 Oakland Ave Cedarhurst NY,five_towns
Ateres Nechama Liba,613 Beach 9th St Far Rockaway NY,five_towns
Young Israel of KGH,70-11 150th St Kew Gardens Hills NY,queens
Cong. Ahavas Yitzchok (KGH),147-02 76th Rd Kew Gardens Hills NY,queens
Kehilas Ishei Yisroel,147-19 73rd Ave Kew Gardens Hills NY,queens
Cong. Machane Chodosh,67-29 108th St Kew Gardens Hills NY,queens
Yeshiva of Central Queens,147-37 70th Rd Kew Gardens Hills NY,queens
Khal Adas Yereim,144-34 72nd Dr Kew Gardens Hills NY,queens
Ohel Yitzchak (KGH),137-58 71st Ave Kew Gardens Hills NY,queens
Cong. Degel Israel,144-02 68th Dr Kew Gardens Hills NY,queens
Cong. Adath Yeshurun,82-17 124th St Kew Gardens NY,queens
Khal Machzikei Hadas,118-24 82nd Ave Kew Gardens NY,queens
Queens Valley (YI),141-55 77th Rd Kew Gardens Hills NY,queens
Tifereth Israel (Passaic),180 Passaic Ave Passaic NJ,passaic
Agudas Yisroel Bircas Yaakov,262 Terhune Ave Passaic NJ,passaic
Adas Israel (Passaic),565 Broadway Passaic NJ,passaic
Cong. Ahavas Israel (Passaic),181 Van Houten Ave Passaic NJ,passaic
Bais Medrash L'Torah,171 Brook Ave Passaic NJ,passaic
Young Israel Passaic-Clifton,200 Brook Ave Passaic NJ,passaic
Khal Tiferes Boruch,132 Park Ave Passaic NJ,passaic
Sephardic Cong. of Passaic,200 Main Ave Passaic NJ,passaic
Bais Toras Utefilah (BTU),218 Aycrigg Ave Passaic NJ,passaic
Kehilas Eitz Chaim (Passaic),33-35 Cambridge Ave Passaic NJ,passaic
Yeshiva Ner Boruch (PTI),441 Passaic Ave Passaic NJ,passaic
Beis Chabad (Passaic),201 Randolph St Passaic NJ,passaic
Congregation Keter Torah,600 Roemer Ave Teaneck NJ,teaneck
Congregation Bnai Yeshurun,641 W Englewood Ave Teaneck NJ,teaneck
Young Israel of Teaneck,868 Perry Ln Teaneck NJ,teaneck
Congregation Beth Abraham,396 New Bridge Rd Teaneck NJ,teaneck
Rinat Yisrael,389 W Englewood Ave Teaneck NJ,teaneck
Beth Aaron,950 Queen Anne Rd Teaneck NJ,teaneck
Jewish Center of Teaneck,70 Sterling Pl Teaneck NJ,teaneck
Congregation Shaare Tefillah (Teaneck),510 Claremont Ave Teaneck NJ,teaneck
Arzei Darom,725 Queen Anne Rd Teaneck NJ,teaneck
Shaarei Orah,1425 Essex Rd Teaneck NJ,teaneck
Bais Medrash of Bergenfield,371 S Prospect Ave Bergenfield NJ,teaneck
Ohr HaTorah (Bergenfield),36 Rector Ct Bergenfield NJ,teaneck
Agudah of Staten Island,1208 White Plains Rd Staten Island NY,staten_island
The Country Shul Hall,Staten Island NY,staten_island
JCC of Staten Island,1466 Manor Road Staten Island NY,staten_island
